index,card,v1,colors,group,icon,petitioner,respondent,altTitle,winner,term,docket,consolidated,scdb,citation,lba,oxford,timeplots,author,majority,minority,argued,decided,category,issue,legalBasis,legalIssue,overruled,overruledBy,quote,quotee,briefs,audio,transcripts,opinion,oyez,wikipedia,conlaw.us,cspan,justices,justiceIDs,dissented,recused
56,007,7,"1,3",A3S2,,Ex parte McCardle,,,respondent,December Term 1868,,,1868-072,74 U.S. 506,"4,5",180,,Salmon Chase,8,0,"1868-03-02,1868-03-03,1868-03-04,1868-03-05,1868-03-09,1869-03-19",1869-04-12,Judicial Power,Military Reconstruction Act of\\1867 and Supreme Court Jurisdiction,"Article III, Section 2 (extent of judicial power)","judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from federal district courts or courts of appeals (cf. 753)",,,"""We are not at liberty to inquire into the motives of the legislature. We can only examine into its power under the Constitution.""",Chief Justice Salmon Chase,"https://lonedissent.org/briefs/featured/ex-parte-mccardle",,,,"https://www.oyez.org/cases/1850-1900/74us506","https://en.wikipedia.org/wiki/Ex_parte_McCardle",,,"Salmon Chase,Samuel Nelson,Robert Grier,Nathan Clifford,Noah Swayne,Samuel Miller,David Davis,Stephen Field","39,29,31,34,35,36,37,38",,
57,N,,,,,Texas,White,,petitioner,October Term 1868,,,1868-077,74 U.S. 700,5,,,Salmon Chase,7,1,"1869-02-05,1869-02-08,1869-02-09",1869-04-12,Judicial Power,,"Article IV, Section 4 (guarantee clause)","judicial administration: change in state law (cf. no merits: remand to determine basis of state court decision)",,,,,,,,,,,,,"Salmon Chase,Samuel Nelson,Nathan Clifford,Noah Swayne,Samuel Miller,David Davis,Stephen Field",,Robert Grier,
58,N,,,,,Paul,Virginia,,respondent,October Term 1869,,,1869-012,75 U.S. 168,6,,,Stephen Field,8,0,"1869-10-08,1869-10-12",1869-11-01,Economic Activity,,"Article I, Section 8, Paragraph 3 (interstate commerce clause)","state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)",,,,,,,,,,,,,"Salmon Chase,Samuel Nelson,Robert Grier,Nathan Clifford,Noah Swayne,Samuel Miller,David Davis,Stephen Field",,,
59,N,,,,,Veazie,Fenno,,,October Term 1869,,,1869-154,75 U.S. 533,6,,,Salmon Chase,6,2,1869-10-18,1869-12-13,Federal Taxation,,"Article I, Section 9, Paragraph 4 (direct tax)","federal taxation, typically under provisions of the Internal Revenue Code",,,,,,,,,,,,,"Salmon Chase,Robert Grier,Nathan Clifford,Noah Swayne,Samuel Miller,Stephen Field",,"Samuel Nelson,David Davis",
60,,,,,,Hepburn,Griswold,,respondent,December Term 1869,,,1869-165,75 U.S. 603,6,,,Salmon Chase,5,3,"1868-12-08,1868-12-09,1868-12-10",1870-02-07,Economic Activity,Legal Tender Act of 1862,"Article I, Section 8, Paragraph 18 (necessary and proper clause)",miscellaneous economic regulation,,,,,,,,,,"https://en.wikipedia.org/wiki/Hepburn_v._Griswold","https://conlaw.us/case/hepburn-v-griswold-1870/",,"Salmon Chase,Samuel Nelson,Robert Grier,Nathan Clifford,Stephen Field","39,29,34,38","Noah Swayne,Samuel Miller,David Davis",
61,,,,,,United States,Dewitt,,,December Term 1869,,,1869-043,76 U.S. 41,,,,Salmon Chase,7,0,1869-11-25,1870-02-21,Federalism,,Infrequently litigated statutes,"national supremacy: commodities",,,,,,,,,,,"https://conlaw.us/case/united-states-v-dewitt-1869/",,"Salmon Chase,Samuel Nelson,Nathan Clifford,Noah Swayne,Samuel Miller,David Davis,Stephen Field","39,29,34,35,36,37,38",,
62,N,,,,,Collector,Day,,respondent,October Term 1870,,,1870-087,78 U.S. 113,6,,,Samuel Nelson,7,1,1871-02-03,1871-04-03,Federalism,,"Article VI, Section 2 (supremacy clause)","national supremacy: intergovernmental tax immunity",,,,,,,,,,,,,"Samuel Nelson,Nathan Clifford,Noah Swayne,Samuel Miller,David Davis,Stephen Field,William Strong",,Joseph Bradley,Salmon Chase
63,039,90,1,A1S8C18,,Knox,Lee,The\\Legal Tender Cases,respondent,December Term 1870,,,1870-132,79 U.S. 457,6,157,,William Strong,5,4,"1869-11-17,1871-02-23,1871-04-18,1871-04-19",1871-05-01,Economic Activity,Legal Tender Act of 1862,"Article I § 8: Powers of Congress",miscellaneous economic regulation,,,"""It is incumbent, therefore, upon those who affirm the unconstitutionality of an act of Congress to show clearly that it is in violation of the provisions of the Constitution.""",Justice William Strong,,,,,,"https://en.wikipedia.org/wiki/Legal_Tender_Cases","https://conlaw.us/case/knox-v-lee-1871/",,"Noah Swayne,Samuel Miller,David Davis,William Strong,Joseph Bradley","40,35,36,37,41","Salmon Chase,Samuel Nelson,Nathan Clifford,Stephen Field",
64,093,39,8,13,,,,The\\Slaughter-House Cases,,October Term 1872,,,1872-150,83 U.S. 36,6,286,9,Samuel Miller,5,4,"1872-01-11,1873-02-03,1873-02-04,1873-02-05",1873-04-14,Economic Activity,Privileges and Immunities,14th Amendment (privileges and immunities clause),"state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)",,,"""We doubt very much whether any action of a State not directed by way of discrimination against the negroes as a class, or on account of their race, will ever be held to come within the purview of [the Equal Protection clause].""",Justice Samuel Miller,"https://lonedissent.org/briefs/featured/the-slaughterhouse-cases",,,,"https://www.oyez.org/cases/1850-1900/83us36","https://en.wikipedia.org/wiki/Slaughter-House_Cases","https://conlaw.us/case/the-slaughter-house-cases-1873/","http://landmarkcases.c-span.org/Case/3/The-Slaughterhouse-Cases","Nathan Clifford,Samuel Miller,David Davis,William Strong,Ward Hunt","36,34,37,40,42","Salmon Chase,Noah Swayne,Stephen Field,Joseph Bradley",
65,,,,,,Bradwell,Illinois,,respondent,October Term 1872,,,1872-153,83 U.S. 130,,,,Samuel Miller,8,1,"1873-01-18,1873-01-19",1873-04-15,Civil Rights,,14th Amendment (privileges and immunities clause),sex discrimination in employment (cf. sex discrimination),,,,,,,,,"https://www.oyez.org/cases/1850-1900/83us130","https://en.wikipedia.org/wiki/Bradwell_v._Illinois","https://conlaw.us/case/bradwell-v-illinois-1873/",,"Nathan Clifford,Noah Swayne,Samuel Miller,David Davis,Stephen Field,William Strong,Joseph Bradley,Ward Hunt","36,34,35,37,38,40,41,42",Salmon Chase,
66,N,,,,,Murdock,Memphis,,respondent,October Term 1874,,,1874-062,87 U.S. 590,7,,,Samuel Miller,7,2,1873-01-21,1875-01-11,Judicial Power,,Infrequently litigated statutes,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from highest state court",,,,,,,,,,,,,"Morrison Waite,Noah Swayne,Samuel Miller,David Davis,Stephen Field,William Strong,Ward Hunt",,"Nathan Clifford,Joseph Bradley",
67,N,,,,,Minor,Happersett,,respondent,October Term 1874,182,,1874-147,88 U.S. 162,7,,,Morrison Waite,9,0,1875-02-09,1875-03-29,Civil Rights,,14th Amendment (privileges and immunities clause),sex discrimination (excluding sex discrimination in employment),,,,,,,,,,,,,"Morrison Waite,Nathan Clifford,Noah Swayne,Samuel Miller,David Davis,Stephen Field,William Strong,Joseph Bradley,Ward Hunt",,,
68,N,,,,,Welton,Missouri,,petitioner,October Term 1875,180,,1875-060,91 U.S. 275,7,,,Stephen Field,9,0,,1876-01-17,Economic Activity,,State or Local Law Regulation,state or local government tax,,,,,,,,,,,,,"Morrison Waite,Nathan Clifford,Noah Swayne,Samuel Miller,David Davis,Stephen Field,William Strong,Joseph Bradley,Ward Hunt",,,
69,,,,,,United States,Cruikshank,,respondent,October Term 1875,339,,1875-142,92 U.S. 542,7,,,Morrison Waite,8,1,"1875-03-30,1875-03-31,1875-04-01",1876-03-27,Federalism,,14th Amendment (privileges and immunities clause),"national supremacy: miscellaneous",,,,,,,,,,"https://en.wikipedia.org/wiki/United_States_v._Cruikshank","https://conlaw.us/case/united-states-v-cruikshank-1875/",,"Morrison Waite,Noah Swayne,Samuel Miller,David Davis,Stephen Field,William Strong,Joseph Bradley,Ward Hunt","43,35,36,37,38,40,41,42",Nathan Clifford,
70,,,,,,Munn,Illinois,,respondent,October Term 1876,99,,1876-120,94 U.S. 113,7,,,Morrison Waite,7,2,"1876-01-14,1876-01-18",1877-03-01,Economic Activity,,"Article I, Section 8, Paragraph 3 (interstate commerce clause)","state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)",,,,,"https://lonedissent.org/briefs/featured/munn-v-illinois",,,,"https://www.oyez.org/cases/1850-1900/94us113","https://en.wikipedia.org/wiki/Munn_v._Illinois",,,"Morrison Waite,Nathan Clifford,Noah Swayne,Samuel Miller,David Davis,Joseph Bradley,Ward Hunt","43,34,35,36,37,41,42","Stephen Field,William Strong",
71,N,,,,,Reynolds,United States,,respondent,October Term 1878,180,,1878-065,98 U.S. 145,8,,,Morrison Waite,9,0,"1878-11-14,1878-11-15",1879-01-06,First Amendment,,1st Amendment (free exercise of religion),free exercise of religion,,,,,,,,,,,,,"Morrison Waite,Nathan Clifford,Noah Swayne,Samuel Miller,Stephen Field,William Strong,Joseph Bradley,Ward Hunt,John Harlan (I)",,,
72,,,,,,Strauder,West Virginia,,petitioner,October Term 1879,753,,1879-097,100 U.S. 303,,,,William Strong,7,2,"1879-10-20,1879-10-21",1880-03-01,Civil Rights,,14th Amendment (equal protection),"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",,,,,,,,,"https://www.oyez.org/cases/1850-1900/100us303","https://en.wikipedia.org/wiki/Strauder_v._West_Virginia","https://conlaw.us/case/strauder-v-west-virginia-1880/",,"Morrison Waite,Noah Swayne,Samuel Miller,William Strong,Joseph Bradley,Ward Hunt,John Harlan (I)","40,35,36,41,42,43,44","Nathan Clifford,Stephen Field",
73,N,,,,,Ex parte Virginia,,,respondent,October Term 1879,,,1879-099,100 U.S. 339,8,,,William Strong,7,2,"1879-10-14,1879-10-15,1879-10-16",1880-03-01,Civil Rights,,14th Amendment (equal protection),"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",,,,,,,,,,,,,"Morrison Waite,Noah Swayne,Samuel Miller,William Strong,Joseph Bradley,Ward Hunt,John Harlan (I)",,"Nathan Clifford,Stephen Field",
74,,1,,,,Kaiser,Stickney,,respondent,October Term 1880,90,,1880-217,131 U.S. Appx. clxxxvii,,,,Morrison Waite,9,0,"1880-11-30,1880-12-01",1880-12-13,Civil Rights,Debt Secured by the General Property of a Married Couple,No Legal Provision,sex discrimination (excluding sex discrimination in employment),,,"Belva Lockwood,\\attorney for Caroline Kaiser,\\was the first woman\\to argue a case at the Supreme Court.",,,,,"https://r1.judicious.games/courts/ussc/cases/1880/kaiser_v_stickney/131usclxxxvii.pdf",,,,,"Morrison Waite,Nathan Clifford,Noah Swayne,Samuel Miller,Stephen Field,William Strong,Joseph Bradley,Ward Hunt,John Harlan (I)","43,34,35,36,38,40,41,42,44",,
75,N,,,,,Kilbourn,Thompson,,petitioner,October Term 1880,18,,1880-103,103 U.S. 168,8,,,Samuel Miller,8,0,"1880-01-13,1880-01-14",1881-02-28,Criminal Procedure,,"Article I, Section 6, Paragraph 1 (speech or debate clause)",contempt of court or congress,,,,,,,,,,,,,"Morrison Waite,Nathan Clifford,Samuel Miller,Stephen Field,Joseph Bradley,Ward Hunt,John Harlan (I),William Woods",,,
76,,,,,,,,The\\Civil Rights Cases,,October Term 1883,1,,1883-004,109 U.S. 3,8,,,Joseph Bradley,8,1,1883-03-29,1883-10-15,Civil Rights,Racial Discrimination by Private Individuals,14th Amendment (due process),"liability, civil rights acts (cf. liability, governmental and liability, nongovernmental; cruel and unusual punishment, non-death penalty)",,,,,"https://lonedissent.org/briefs/featured/the-civil-rights-cases",,,,"https://www.oyez.org/cases/1850-1900/109us3","https://en.wikipedia.org/wiki/Civil_Rights_Cases","https://conlaw.us/case/the-civil-rights-case-1883/","http://landmarkcases.c-span.org/Case/17/Civil-Rights-Cases","Morrison Waite,Samuel Miller,Stephen Field,Joseph Bradley,William Woods,Stanley Matthews,Horace Gray,Samuel Blatchford","41,36,38,43,45,46,47,48",John Harlan (I),
77,,,,,,Hurtado,California,,respondent,October Term 1883,1207,,1883-164,110 U.S. 516,149,,,Stanley Matthews,7,1,1884-01-22,1884-03-03,Criminal Procedure,,Infrequently litigated statutes,Federal Rules of Criminal Procedure,,,,,,,,,,,,,"Morrison Waite,Samuel Miller,Joseph Bradley,William Woods,Stanley Matthews,Horace Gray,Samuel Blatchford","46,36,41,43,45,47,48",John Harlan (I),Stephen Field
78,N,,,,,Boyd,United States,,petitioner,October Term 1885,983,,1885-138,116 U.S. 616,8,,,Joseph Bradley,9,0,1885-12-11,1886-02-01,Criminal Procedure,,4th Amendment,search and seizure (other than as pertains to vehicles or Crime Control Act),,,,,,,,,,,,,"Morrison Waite,Samuel Miller,Stephen Field,Joseph Bradley,John Harlan (I),William Woods,Stanley Matthews,Horace Gray,Samuel Blatchford",,,
79,001,53,"1,2",14S1C4,,Yick Wo,Hopkins,,petitioner,October Term 1885,1280,,1885-269,118 U.S. 356,9,342,,Stanley Matthews,9,0,,1886-05-10,Civil Rights,Race-Neutral Laws\\with Prejudicial Enforcement,14th Amendment (equal protection),"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",,,"""No reason for it is shown, and the conclusion cannot be resisted, that no reason for it exists except hostility to the race and nationality to which the petitioners belong….""",Justice Stanley Matthews,,,,,"https://www.oyez.org/cases/1850-1900/118us356","https://en.wikipedia.org/wiki/Yick_Wo_v._Hopkins","https://conlaw.us/case/yick-wo-v-hopkins-1886/","http://landmarkcases.c-span.org/Case/18/Yick-Wo-v-Hopkins","Morrison Waite,Samuel Miller,Stephen Field,Joseph Bradley,John Harlan (I),William Woods,Stanley Matthews,Horace Gray,Samuel Blatchford","46,36,38,41,43,44,45,47,48",,
80,,,,,,Santa Clara County,Southern Pacific Railroad Co.,,respondent,October Term 1885,6,,1885-273,118 U.S. 394,,,,John Harlan (I),9,0,1886-01-26,1886-05-10,Economic Activity,,14th Amendment (due process),state or local government tax,,,,,,,,,,,,,"Morrison Waite,Samuel Miller,Stephen Field,Joseph Bradley,John Harlan (I),William Woods,Stanley Matthews,Horace Gray,Samuel Blatchford","44,36,38,41,43,45,46,47,48",,
81,105,103,2,A1S8C8,,,,The\\Telephone Cases,,October Term 1887,10,,1887-191,126 U.S. 1,,,,Morrison Waite,4,3,"1887-01-24,1887-01-25,1887-01-26,1887-01-27,1887-01-28,1887-01-31,1887-02-01,1887-02-02,1887-02-03,1887-02-04,1887-02-07,1887-02-08",1888-03-19,Economic Activity,Bell Telephone Patents,No Legal Provision,"patents and copyrights: patent",,,"""The law does not require that a discoverer or inventor…must have succeeded in bringing his art to the highest degree of perfection.""",Chief Justice Morrison Waite,,,,,,"https://en.wikipedia.org/wiki/The_Telephone_Cases",,,"Morrison Waite,Samuel Miller,Stanley Matthews,Samuel Blatchford","43,36,46,48","Stephen Field,Joseph Bradley,John Harlan (I)","Horace Gray,Lucius Lamar"
82,061,59,"1,3",A6C2,,Chae Chan Ping,United States,The Chinese Exclusion Case,respondent,October Term 1888,1446,,1888-201,130 U.S. 581,9,53,,Stephen Field,8,0,"1889-03-28,1889-03-29",1889-05-13,Civil Rights,Immigration Policies\\and Respect for International Treaties,Infrequently litigated statutes,"immigration and naturalization: miscellaneous",,,"""That the government of the United States, through the action of the legislative department, can exclude aliens from its territory is a proposition which we do not think open to controversy.""",Justice Stephen Field,,,,,,"https://en.wikipedia.org/wiki/Chae_Chan_Ping_v._United_States",,,"Melville Fuller,Samuel Miller,Stephen Field,Joseph Bradley,John Harlan (I),Horace Gray,Samuel Blatchford,Lucius Lamar","38,36,41,44,47,48,49,50",,
83,,,,,,Hans,Louisiana,,respondent,October Term 1889,4,,1889-145,134 U.S. 1,,,,Joseph Bradley,9,0,1890-01-22,1890-03-03,Federalism,,11th Amendment,federal pre-emption of state court jurisdiction,,,,,,,,,,"https://en.wikipedia.org/wiki/Hans_v._Louisiana","https://conlaw.us/case/hans-v-state-of-louisiana-1890/",,"Melville Fuller,Samuel Miller,Stephen Field,Joseph Bradley,John Harlan (I),Horace Gray,Samuel Blatchford,Lucius Lamar,David Brewer","41,36,38,44,47,48,49,50,51",,
84,,,,,,"Chicago, Milwaukee & St. Paul Railway Co.",Minnesota,,petitioner,October Term 1889,762,,1889-186,134 U.S. 418,,,,Samuel Blatchford,6,3,1890-01-13,1890-03-24,Economic Activity,,14th Amendment (due process),"federal or state regulation of transportation regulation: railroad",,,,,,,,,"https://www.oyez.org/cases/1850-1900/134us418",,,,"Melville Fuller,Samuel Miller,Stephen Field,John Harlan (I),Samuel Blatchford,David Brewer","48,36,38,44,50,51","Joseph Bradley,Horace Gray,Lucius Lamar",
85,N,,,,,In re Neagle,,,respondent,October Term 1889,1472,,1889-208,135 U.S. 1,9,,,Samuel Miller,6,2,"1890-03-04,1890-03-05",1890-04-14,Federalism,,Infrequently litigated statutes,federal pre-emption of state court jurisdiction,,,,,,,,,,,,,"Samuel Miller,Joseph Bradley,John Harlan (I),Horace Gray,Samuel Blatchford,David Brewer",,"Melville Fuller,Lucius Lamar",Stephen Field
86,N,,,,,Counselman,Hitchcock,,petitioner,October Term 1891,1026,,1891-083,142 U.S. 547,10,,,Samuel Blatchford,9,0,1891-12-09,1892-01-11,Criminal Procedure,,No Legal Provision,self-incrimination (other than as pertains to Miranda or immunity from prosecution),,,,,,,,,,,,,"Melville Fuller,Stephen Field,Joseph Bradley,John Harlan (I),Horace Gray,Samuel Blatchford,Lucius Lamar,David Brewer,Henry Brown",,,
87,N,,,,,Field,Clark,,respondent,October Term 1891,1052,,1891-139,143 U.S. 649,11,,,John Harlan (I),8,0,1891-12-01,1892-02-29,Miscellaneous,,No Legal Provision,executive authority vis-a-vis congress or the states,,,,,,,,,,,,,"Melville Fuller,Stephen Field,John Harlan (I),Horace Gray,Samuel Blatchford,Lucius Lamar,David Brewer,Henry Brown",,,
88,008,8,"1,4",,,Nix,Hedden,,respondent,October Term 1892,137,,1892-220,149 U.S. 304,,,,Horace Gray,8,0,,1893-05-10,Federal Taxation,Whether a Tomato\\is a Vegetable or a Fruit,Infrequently litigated statutes,"federal taxation of gifts, personal, business, or professional expenses",,,"""[Tomatoes are] usually served at dinner in, with or after the soup, fish or meats which constitute the principal part of the repast, and not, like fruits generally, as dessert.""",Justice Horace Gray,,,,,,"https://en.wikipedia.org/wiki/Nix_v._Hedden",,,"Melville Fuller,Stephen Field,Horace Gray,Samuel Blatchford,David Brewer,Henry Brown,George Shiras,Howell Jackson","47,38,48,50,51,52,53,54",,John Harlan (I)
